"path_count","point_count","id","label","s_name","s_id"
12,284,382,guitar,Gurkirat ,1663858221250
9,140,383,pencil,Gurkirat ,1663858221250
6,135,384,clock,Gurkirat ,1663858221250
554,554,385,car,lippo,1663858276975
5,207,386,fish,lippo,1663858276975
7,235,387,house,lippo,1663858276975
3,275,388,tree,lippo,1663858276975
14,219,389,bicycle,lippo,1663858276975
8,430,390,guitar,lippo,1663858276975
6,116,391,pencil,lippo,1663858276975
3,87,392,clock,lippo,1663858276975
5,878,393,car,Andreas,1663858456664
5,443,394,fish,Andreas,1663858456664
2,429,395,house,Andreas,1663858456664
3,343,396,tree,Andreas,1663858456664
16,1205,397,bicycle,Andreas,1663858456664
6,490,398,guitar,Andreas,1663858456664
3,287,399,pencil,Andreas,1663858456664
2,208,400,clock,Andreas,1663858456664
16,675,401,car,Akash,1663858488796
20,563,402,fish,Akash,1663858488796
12,598,403,house,Akash,1663858488796
11,347,404,tree,Akash,1663858488796
27,1363,405,bicycle,Akash,1663858488796
5,396,406,guitar,Akash,1663858488796
23,1000,407,pencil,Akash,1663858488796
19,630,408,clock,Akash,1663858488796
3,730,409,car,prince,1663858489917
8,658,410,fish,prince,1663858489917
5,368,411,house,prince,1663858489917
6,465,412,tree,prince,1663858489917
19,2974,413,bicycle,prince,1663858489917
7,2098,414,guitar,prince,1663858489917
7,757,415,pencil,prince,1663858489917
3,825,416,clock,prince,1663858489917
11,860,417,car,Vijay,1663858829157
7,569,418,fish,Vijay,1663858829157
4,403,419,house,Vijay,1663858829157
6,307,420,tree,Vijay,1663858829157
8,338,421,bicycle,Vijay,1663858829157
4,347,422,guitar,Vijay,1663858829157
3,196,423,pencil,Vijay,1663858829157
5,137,424,clock,Vijay,1663858829157
17,1596,425,car,angelo_birrozza,1663858932880
7,883,426,fish,angelo_birrozza,1663858932880
21,1010,427,house,angelo_birrozza,1663858932880
48,1365,428,tree,angelo_birrozza,1663858932880
14,1212,429,bicycle,angelo_birrozza,1663858932880
20,1169,430,guitar,angelo_birrozza,1663858932880
5,351,431,pencil,angelo_birrozza,1663858932880
18,1000,432,clock,angelo_birrozza,1663858932880
4,134,433,car,carnage,1663859212298
4,500,434,fish,carnage,1663859212298
46,823,435,house,carnage,1663859212298
39,717,436,tree,carnage,1663859212298
15,404,437,bicycle,carnage,1663859212298
22,404,438,guitar,carnage,1663859212298
36,768,439,pencil,carnage,1663859212298
19,299,440,clock,carnage,1663859212298
5,773,441,car,Souhardya Dutta,1663859265004
6,556,442,fish,Souhardya Dutta,1663859265004
11,635,443,house,Souhardya Dutta,1663859265004
5,358,444,tree,Souhardya Dutta,1663859265004
6,376,445,bicycle,Souhardya Dutta,1663859265004
5,1062,446,guitar,Souhardya Dutta,1663859265004
5,864,447,pencil,Souhardya Dutta,1663859265004
598,598,448,clock,Souhardya Dutta,1663859265004
18,779,449,car,Ansh,1663859340941
24,780,450,fish,Ansh,1663859340941
14,568,451,house,Ansh,1663859340941
5,385,452,tree,Ansh,1663859340941
17,685,453,bicycle,Ansh,1663859340941
19,885,454,guitar,Ansh,1663859340941
7,348,455,pencil,Ansh,1663859340941
37,1133,456,clock,Ansh,1663859340941
23,2203,457,car,Bartosz,1663859377825
3,650,458,fish,Bartosz,1663859377825
22,1182,459,house,Bartosz,1663859377825
15,855,460,tree,Bartosz,1663859377825
7,563,461,bicycle,Bartosz,1663859377825
17,1971,462,guitar,Bartosz,1663859377825
